G_ID,day,val
966,2004-01-01 00:00:00.000,0.03
966,2005-01-01 00:00:00.000,0.29
966,2006-01-01 00:00:00.000,0.12
966,2007-01-01 00:00:00.000,0.08
966,2009-01-01 00:00:00.000,0.64
966,2010-01-01 00:00:00.000,0.58
966,2011-01-01 00:00:00.000,0.00
966,2012-01-01 00:00:00.000,0.00
966,2013-01-01 00:00:00.000,0.01
966,2014-01-01 00:00:00.000,0.01
966,2015-01-01 00:00:00.000,0.00
966,2016-01-01 00:00:00.000,0.00
966,2017-01-01 00:00:00.000,0.16
966,2004-01-02 00:00:00.000,0.20
966,2005-01-02 00:00:00.000,0.01
966,2006-01-02 00:00:00.000,0.34
966,2007-01-02 00:00:00.000,1.06
966,2009-01-02 00:00:00.000,0.26
966,2010-01-02 00:00:00.000,0.31
966,2011-01-02 00:00:00.000,0.00
966,2012-01-02 00:00:00.000,0.17
966,2013-01-02 00:00:00.000,0.00
966,2014-01-02 00:00:00.000,0.11
966,2015-01-02 00:00:00.000,0.01
966,2016-01-02 00:00:00.000,0.01
966,2017-01-02 00:00:00.000,0.00
966,2004-01-03 00:00:00.000,0.03
966,2005-01-03 00:00:00.000,0.01
966,2006-01-03 00:00:00.000,0.25
966,2007-01-03 00:00:00.000,0.21
966,2009-01-03 00:00:00.000,0.00
966,2010-01-03 00:00:00.000,0.02
966,2011-01-03 00:00:00.000,0.00
966,2012-01-03 00:00:00.000,0.01
966,2013-01-03 00:00:00.000,0.07
966,2014-01-03 00:00:00.000,0.01
966,2015-01-03 00:00:00.000,0.01
966,2016-01-03 00:00:00.000,0.00
966,2017-01-03 00:00:00.000,0.00
966,2004-01-04 00:00:00.000,0.05
966,2005-01-04 00:00:00.000,0.00
966,2006-01-04 00:00:00.000,0.03
966,2007-01-04 00:00:00.000,0.07
966,2009-01-04 00:00:00.000,0.40
966,2010-01-04 00:00:00.000,0.89
966,2011-01-04 00:00:00.000,0.01
966,2012-01-04 00:00:00.000,0.57
966,2013-01-04 00:00:00.000,0.01
966,2014-01-04 00:00:00.000,0.00
966,2015-01-04 00:00:00.000,1.59
966,2016-01-04 00:00:00.000,0.45
966,2017-01-04 00:00:00.000,0.00
966,2004-01-05 00:00:00.000,0.00
966,2005-01-05 00:00:00.000,0.00
966,2006-01-05 00:00:00.000,0.83
966,2007-01-05 00:00:00.000,1.57
966,2009-01-05 00:00:00.000,0.13
966,2010-01-05 00:00:00.000,0.15
966,2011-01-05 00:00:00.000,0.18
966,2012-01-05 00:00:00.000,0.27
966,2013-01-05 00:00:00.000,0.04
966,2014-01-05 00:00:00.000,0.00
966,2015-01-05 00:00:00.000,0.95
966,2016-01-05 00:00:00.000,0.10
966,2017-01-05 00:00:00.000,0.00
966,2004-01-06 00:00:00.000,0.00
966,2005-01-06 00:00:00.000,0.13
966,2006-01-06 00:00:00.000,0.26
966,2007-01-06 00:00:00.000,0.11
966,2009-01-06 00:00:00.000,1.05
966,2010-01-06 00:00:00.000,0.08
966,2011-01-06 00:00:00.000,0.13
966,2012-01-06 00:00:00.000,0.07
966,2013-01-06 00:00:00.000,0.04
966,2014-01-06 00:00:00.000,0.10
966,2015-01-06 00:00:00.000,0.00
966,2016-01-06 00:00:00.000,0.00
966,2017-01-06 00:00:00.000,0.00
966,2004-01-07 00:00:00.000,1.08
966,2015-04-09 00:00:00.000,0.00
966,2016-04-09 00:00:00.000,0.00
966,2004-04-10 00:00:00.000,0.00
966,2005-04-10 00:00:00.000,0.26
966,2006-04-10 00:00:00.000,0.01
966,2007-04-10 00:00:00.000,0.22
966,2009-04-10 00:00:00.000,0.16
966,2010-04-10 00:00:00.000,0.00
966,2011-04-10 00:00:00.000,0.18
966,2012-04-10 00:00:00.000,0.02
966,2013-04-10 00:00:00.000,0.34
966,2014-04-10 00:00:00.000,0.00
966,2015-04-10 00:00:00.000,0.57
966,2016-04-10 00:00:00.000,0.00
966,2004-04-11 00:00:00.000,0.00
966,2005-04-11 00:00:00.000,0.33
966,2006-04-11 00:00:00.000,0.00
966,2007-04-11 00:00:00.000,0.01
966,2009-04-11 00:00:00.000,0.11
966,2010-04-11 00:00:00.000,0.00
966,2011-04-11 00:00:00.000,0.06
966,2012-04-11 00:00:00.000,0.31
966,2013-04-11 00:00:00.000,0.00
966,2014-04-11 00:00:00.000,0.00
966,2015-04-11 00:00:00.000,0.20
966,2016-04-11 00:00:00.000,0.00
966,2004-04-12 00:00:00.000,0.02
966,2005-04-12 00:00:00.000,0.16
966,2006-04-12 00:00:00.000,0.00
966,2007-04-12 00:00:00.000,0.01
966,2009-04-12 00:00:00.000,0.87
966,2010-04-12 00:00:00.000,0.05
966,2011-04-12 00:00:00.000,0.00
966,2012-04-12 00:00:00.000,0.04
966,2013-04-12 00:00:00.000,0.21
966,2014-04-12 00:00:00.000,0.00
966,2015-04-12 00:00:00.000,0.00
966,2016-04-12 00:00:00.000,0.46
966,2004-04-13 00:00:00.000,0.11
966,2005-04-13 00:00:00.000,0.00
966,2006-04-13 00:00:00.000,0.35
966,2007-04-13 00:00:00.000,0.09
966,2009-04-13 00:00:00.000,0.31
966,2010-04-13 00:00:00.000,0.03
966,2011-04-13 00:00:00.000,0.22
966,2012-04-13 00:00:00.000,0.00
966,2013-04-13 00:00:00.000,0.48
966,2014-04-13 00:00:00.000,0.00
966,2015-04-13 00:00:00.000,0.15
966,2016-04-13 00:00:00.000,0.23
966,2004-04-14 00:00:00.000,0.33
966,2005-04-14 00:00:00.000,0.15
966,2006-04-14 00:00:00.000,0.24
966,2007-04-14 00:00:00.000,0.12
966,2009-04-14 00:00:00.000,0.01
966,2010-04-14 00:00:00.000,0.00
966,2011-04-14 00:00:00.000,0.39
966,2012-04-14 00:00:00.000,0.00
966,2013-04-14 00:00:00.000,0.14
966,2014-04-14 00:00:00.000,0.00
966,2015-04-14 00:00:00.000,0.02
966,2016-04-14 00:00:00.000,0.22
966,2004-04-15 00:00:00.000,0.07
966,2005-04-15 00:00:00.000,0.47
966,2006-04-15 00:00:00.000,0.29
966,2007-04-15 00:00:00.000,0.00
966,2009-04-15 00:00:00.000,0.00
966,2010-04-15 00:00:00.000,0.05
966,2011-04-15 00:00:00.000,0.21
966,2012-04-15 00:00:00.000,0.01
966,2013-04-15 00:00:00.000,0.05
966,2014-04-15 00:00:00.000,0.00
966,2015-04-15 00:00:00.000,0.00
966,2016-04-15 00:00:00.000,0.00
966,2004-04-16 00:00:00.000,0.13
966,2005-04-16 00:00:00.000,0.55
966,2006-04-16 00:00:00.000,0.04
966,2007-04-16 00:00:00.000,0.10
966,2009-04-16 00:00:00.000,0.00
966,2010-04-16 00:00:00.000,0.00
966,2011-04-16 00:00:00.000,0.01
966,2012-04-16 00:00:00.000,0.45
966,2013-04-16 00:00:00.000,0.00
966,2014-04-16 00:00:00.000,0.04
966,2015-04-16 00:00:00.000,0.00
966,2016-04-16 00:00:00.000,0.00
966,2004-04-17 00:00:00.000,0.00
966,2005-04-17 00:00:00.000,0.17
966,2006-04-17 00:00:00.000,0.00
966,2007-04-17 00:00:00.000,0.10
966,2009-04-17 00:00:00.000,0.26
966,2010-04-17 00:00:00.000,0.42
966,2011-04-17 00:00:00.000,0.01
966,2012-04-17 00:00:00.000,0.11
966,2013-04-17 00:00:00.000,0.00
966,2014-04-17 00:00:00.000,0.50
