G_ID,site,latest_sample,type,last_val
965,10a - Eaton Creek @ Yelm Hwy,2016-10-24 17:00:00.000,Flow,1.14
1100,10b - Lake St. Clair,2017-03-17 08:00:00.000,Flow,71.87
1101,14a - Spurgeon Creek,NULL,Flow,NULL
969,17a - Chambers Creek @ Rich Rd.,NULL,Flow,NULL
1102,17b - Chambers Ditch @ Wilderness Dr,NULL,Flow,NULL
970,18a - Woodland Creek @ Pleasant Glade Rd.,NULL,Flow,NULL
1051,18b - Long Lake Level,2017-03-15 20:00:00.000,Flow,3.18
974,20a - Woodard Creek @ 36th Ave.,2016-10-25 16:30:00.000,Flow,1.27
979,24a - McLane Creek @ Delphi Rd.,NULL,Flow,NULL
981,32b - Green Cove Creek @ Butler Cove FS,NULL,Flow,NULL
985,44a - Black Lake Ditch @ Belmore Rd,NULL,Flow,NULL
987,45b - Black River @ 128th Ave.,NULL,Flow,NULL
1055,52a - Salmon Creek @ Littlerock Rd.,NULL,Flow,NULL
991,55a - Scatter Creek @ James Rd.,2016-02-16 19:30:00.000,Flow,3.50
1006,ET1 - 8538 9th Way SE,NULL,Flow,NULL
1035,TWOF-1 - Tanglewilde Outfall @ Martin Way,NULL,Flow,NULL
996,05u - Yelm WRF_Rain,2017-03-09 08:00:00.000,Rain,0.00
966,10u - Meridian Rd_Rain,2017-03-09 08:00:00.000,Rain,0.01
1049,11u - NOAA Olympia Airport,2017-03-01 09:00:00.000,Rain,0.00
1054,11w - Rainier Transfer Station,2017-03-08 22:15:00.000,Rain,0.03
968,13u - Lake Lawrence_Rain,2017-03-08 23:00:00.000,Rain,0.02
971,18u - Lacey Fire Dist. 3 Fire Station_Rain,2017-03-09 19:45:00.000,Rain,0.02
972,18w - WARC TC_Rain,2017-03-09 19:15:00.000,Rain,0.01
975,20u - Southbay Firestation_Rain ,2017-03-09 18:30:00.000,Rain,0.02
978,23u - Percival Creek, Bldg 4_Rain,2017-03-08 15:15:00.000,Rain,0.01
980,27u - Boston Harbor_Rain,2017-03-09 18:00:00.000,Rain,0.02
